,ANSICODE,HYDROID,FULLNAME,MTFCC,ALAND,AWATER,INTPTLAT,INTPTLON,geometry
806737,,110378324440,,H2030,0.0,7693.0,+41.7687051,-80.7789712,"POLYGON ((-80.77985399999994 41.76868600000006, -80.77908999999994 41.769052000000045, -80.77820399999996 41.76886900000005, -80.77899899999994 41.76834300000007, -80.77985399999994 41.76868600000006))"
806738,,110378324441,,H2030,0.0,60908.0,+41.9066077,-80.7939182,"POLYGON ((-80.79506299999997 41.90626100000003, -80.79472999999996 41.91050400000006, -80.79345699999999 41.90230400000007, -80.79409399999997 41.90611900000005, -80.79506299999997 41.90626100000003))"
806739,,110378324442,,H2030,0.0,36090.0,+41.9084169,-80.7875433,"POLYGON ((-80.78794899999997 41.90970000000004, -80.78707399999996 41.91068900000005, -80.78728299999995 41.906142000000045, -80.78802499999995 41.90629500000006, -80.78794899999997 41.90970000000004))"
806744,,110378324449,,H2030,0.0,8552.0,+41.9263128,-80.6272037,"POLYGON ((-80.62753399999997 41.92691700000006, -80.62688999999995 41.927009000000055, -80.62710599999997 41.92549900000006, -80.62756499999995 41.926071000000036, -80.62753399999997 41.92691700000006))"
806745,,110378324451,,H2030,0.0,27916.0,+41.9188857,-80.6918862,"POLYGON ((-80.69398099999995 41.91858200000007, -80.69192899999996 41.91981700000008, -80.69042799999994 41.919268000000045, -80.69055099999997 41.91791800000004, -80.69398099999995 41.91858200000007))"
806746,,110378324453,,H2030,0.0,6358.0,+41.9119248,-80.7340208,"POLYGON ((-80.73437999999999 41.91232700000006, -80.73370599999998 41.91237300000006, -80.73379699999998 41.911366000000044, -80.73422599999998 41.91143500000004, -80.73437999999999 41.91232700000006))"
806786,,110378324456,,H2030,0.0,13306.0,+41.9036041,-80.6925730,"POLYGON ((-80.69367399999999 41.90439800000007, -80.69315299999994 41.90453500000007, -80.69097899999997 41.90295700000007, -80.69327599999997 41.90352800000005, -80.69367399999999 41.90439800000007))"
806787,,110378324458,,H2030,0.0,13465.0,+41.8869934,-80.6503070,"POLYGON ((-80.65126799999996 41.88673200000005, -80.64991999999995 41.88773800000007, -80.64958399999995 41.88773800000007, -80.64970699999998 41.88664000000006, -80.65126799999996 41.88673200000005))"
806788,,110378324459,,H2030,0.0,19806.0,+41.8797942,-80.6331483,"POLYGON ((-80.63394499999998 41.88009100000005, -80.63241399999998 41.88038700000004, -80.63226199999997 41.87915200000003, -80.63382299999995 41.87896900000004, -80.63394499999998 41.88009100000005))"
806789,,110378324461,,H2030,0.0,16456.0,+41.8993153,-80.6623816,"POLYGON ((-80.66317299999997 41.899684000000036, -80.66234599999996 41.90002700000008, -80.66136699999998 41.89895100000007, -80.66277599999995 41.898585000000026, -80.66317299999997 41.899684000000036))"
